RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
81,65848857,Customer_80,626,Spain,Male,60,0,93919.9664700689,2,1,0,184973.87536063173,1
82,67055419,Customer_81,560,Spain,Female,44,2,22201.426783056595,3,1,0,112763.5190769552,0
83,59160571,Customer_82,729,France,Male,31,6,32140.100357133066,3,1,0,173702.47203418482,0
84,78394024,Customer_83,462,Germany,Female,61,2,47462.82348378984,3,0,0,156779.0234283582,1
85,74525468,Customer_84,714,France,Female,69,1,43602.94568675172,3,0,0,165639.48356381245,1
86,99966606,Customer_85,540,Germany,Male,29,7,2228.777718032395,1,1,1,86582.29641742512,0
87,48727468,Customer_86,775,Germany,Female,29,10,111544.58242794419,3,1,1,101196.86941815556,1
88,61757120,Customer_87,666,France,Male,45,7,140498.4208969784,1,0,1,56639.7774886196,0
89,77157848,Customer_88,714,France,Male,59,9,56777.362029059776,3,0,0,21303.910432470722,1
90,87897542,Customer_89,658,France,Female,27,10,14241.85767068405,1,0,1,124108.60370870211,0
91,83665032,Customer_90,474,Germany,Female,48,8,21370.24091322223,3,0,1,69913.3907846192,1
92,95390464,Customer_91,563,France,Female,36,10,10129.302647255257,3,1,0,106300.13708400533,1
93,58170987,Customer_92,717,France,Male,55,6,13930.116057115743,2,0,1,192963.0381691894,0
94,62562567,Customer_93,666,Spain,Female,33,5,156801.27361913968,1,1,0,23485.397734134367,0
95,33717335,Customer_94,768,Spain,Female,56,5,49067.96818967254,3,1,0,176156.36557971043,1
96,70472382,Customer_95,690,Spain,Female,42,10,8825.489476603801,3,0,0,27934.503021540524,0
97,22719242,Customer_96,553,France,Male,30,5,22052.18916231481,2,0,1,134724.54523873536,0
98,58715250,Customer_97,570,France,Male,45,7,223935.74904407916,4,1,1,76259.66216195025,0
99,93139152,Customer_98,660,France,Female,18,1,53388.93135695318,1,0,0,30456.179359217727,1
100,54054178,Customer_99,418,Germany,Female,36,10,54368.630359699666,3,1,0,154198.36004399878,1
101,48334882,Customer_100,817,Germany,Female,50,2,55934.92540015966,2,1,1,143203.86539424778,0
102,62441466,Customer_101,694,Spain,Female,18,0,8876.408528602431,1,0,1,132215.1138937384,1
103,59583876,Customer_102,772,Germany,Female,18,8,250000.0,2,1,1,193375.66026447044,0
104,96117865,Customer_103,491,Germany,Female,18,2,6620.201012049613,3,0,1,16048.94180780413,0
105,73203558,Customer_104,774,Germany,Female,64,1,90307.56621141355,1,0,1,93480.22762776655,0
106,47407771,Customer_105,850,Spain,Male,43,1,4462.528062154162,3,0,0,117595.95485547163,0
107,93122310,Customer_106,517,Spain,Female,37,0,43968.97712081552,1,0,1,78980.35630686051,0
108,37009224,Customer_107,727,Germany,Female,59,0,172452.9740546246,2,0,1,137723.96507304345,1
109,61327755,Customer_108,650,France,Male,38,4,109720.19073098247,3,1,0,181001.41221780737,0
110,89018913,Customer_109,495,Spain,Female,49,10,30561.087858647683,1,0,0,142902.45819931108,1
111,17130144,Customer_110,699,Germany,Male,45,2,60113.04193114708,2,1,0,118860.51109424773,0
112,14545583,Customer_111,733,France,Female,37,4,13548.940284327555,2,1,1,150600.1193747943,0
113,64079037,Customer_112,589,France,Male,49,8,234472.65749549947,2,1,0,32242.897053826036,0
114,64474455,Customer_113,766,Spain,Female,56,2,92499.28812668823,2,1,1,130281.47856989117,0
115,51542436,Customer_114,483,France,Female,42,5,35165.57135685153,2,1,0,88314.35478816475,0
116,56626914,Customer_115,500,Spain,Male,38,2,28697.229315271226,2,1,0,71650.3245196944,0
117,63933927,Customer_116,663,Germany,Male,39,5,20448.549662729965,3,0,0,107129.26918859065,0
118,62453338,Customer_117,652,Spain,Male,18,1,115815.75120723713,1,1,0,163202.89658614254,1
119,24881728,Customer_118,578,France,Female,49,10,42768.52786228113,1,1,1,89317.88124368626,0
120,44045666,Customer_119,730,Spain,Female,26,0,30060.13722590872,1,0,0,143932.25539673242,1
121,22722094,Customer_120,703,Spain,Female,54,3,176716.14713966887,1,1,0,122538.16541801597,1
122,32178434,Customer_121,735,Germany,Female,43,1,12208.15284628199,1,0,1,184195.35623745894,1
123,56321408,Customer_122,637,France,Female,46,4,22972.625379645782,1,1,0,95398.02427111445,1
124,22796932,Customer_123,710,Spain,Male,55,2,31707.18123244171,1,1,1,166064.20715423973,1
125,84023414,Customer_124,605,Germany,Female,31,1,22567.831328675682,2,1,0,170219.78042167658,0
126,36063245,Customer_125,850,Germany,Male,50,1,66033.63107408775,1,0,1,99040.52786882603,1
127,49443226,Customer_126,568,Germany,Male,49,1,68915.38791179516,1,0,0,103640.16251512368,1
128,83619289,Customer_127,850,Germany,Female,42,7,4222.8561885251565,2,1,1,74404.56725714222,0
129,17887739,Customer_128,653,Germany,Female,31,1,11707.736956342625,3,1,0,104952.11345985225,0
130,70736972,Customer_129,512,Spain,Male,53,7,16597.96393340391,2,0,1,58548.42240522572,0
131,71071026,Customer_130,786,Spain,Female,55,3,5469.263768552925,2,0,1,173288.8857755373,1
132,10769598,Customer_131,662,France,Male,46,0,9994.456303783885,2,1,0,58672.654118195744,1
133,99178975,Customer_132,735,Spain,Female,28,0,20548.368912654187,2,1,1,60125.25338738936,0
134,59007334,Customer_133,772,France,Male,37,10,31805.09885223136,3,0,0,180333.66390564278,1
135,38433648,Customer_134,683,France,Female,44,4,117517.54857986428,2,1,1,111849.12145645851,0
136,17971379,Customer_135,590,France,Female,55,1,18433.437248146154,1,1,1,31396.391393616737,1
137,13331068,Customer_136,747,Spain,Female,21,6,83155.56785148592,2,0,1,76723.95492725201,0
138,46810847,Customer_137,650,Germany,Male,36,8,4471.77796562988,2,0,0,144485.62734926507,0
139,44428803,Customer_138,718,France,Female,38,2,80523.6939784901,2,1,0,88043.1517914502,0
140,15654237,Customer_139,434,Germany,Male,43,4,118753.23814161863,2,0,1,91316.09842212658,0
141,71553124,Customer_140,694,France,Female,25,1,69628.75700879676,2,1,0,105542.8401231282,0
142,55816038,Customer_141,586,Spain,Female,41,0,16866.40728553869,1,0,1,53508.90388516295,1
143,27750764,Customer_142,815,France,Male,40,2,30081.504600923283,2,1,0,91481.59272244375,0
144,46898446,Customer_143,712,Spain,Male,29,6,122676.46104686838,3,1,0,52159.30578116247,0
145,33841962,Customer_144,673,Germany,Male,43,3,42418.82823260438,2,0,0,77669.78940148478,1
146,76834972,Customer_145,698,Spain,Female,36,2,22101.455540722076,1,1,0,111888.6234618727,0
147,53156515,Customer_146,550,Germany,Female,52,2,202385.19701697706,3,0,0,142288.30556386907,0
148,32993420,Customer_147,812,Spain,Female,31,3,76074.78669504951,3,1,0,131021.9825395927,0
149,72190751,Customer_148,849,France,Female,46,1,122882.07269662441,3,0,0,120019.15188972955,0
150,31970758,Customer_149,689,France,Female,32,4,1860.5288375383286,2,0,0,123788.96392485983,1
151,46513466,Customer_150,809,Spain,Female,36,0,31088.30788411527,2,0,0,107848.98271248442,0
152,41288562,Customer_151,593,Germany,Female,49,8,46060.90872625556,2,0,0,127383.69742142421,0
153,31351509,Customer_152,570,Germany,Male,48,0,66399.6689621756,3,0,0,82337.23748405451,0
154,33484187,Customer_153,654,Germany,Female,38,5,15801.474289229765,2,0,0,181047.54661576427,0
155,71777469,Customer_154,693,Spain,Male,40,2,51679.697933006595,1,0,0,122851.93375289669,0
156,46093880,Customer_155,610,Spain,Female,23,7,86787.74307887108,3,0,0,188045.57076610264,0
157,60441204,Customer_156,703,Spain,Male,66,8,31834.382228951305,3,0,1,87812.87690914214,0
158,91752859,Customer_157,680,Spain,Male,55,1,88188.4578635459,2,0,1,85916.15210504194,0
159,54066131,Customer_158,550,Germany,Male,54,5,37029.7001737807,1,0,1,193401.60387263482,1
160,85415325,Customer_159,701,Germany,Female,21,1,47539.97521957412,2,0,0,148945.05713207345,0
161,45563453,Customer_160,736,Spain,Male,36,0,10815.648749970802,2,0,1,109320.62151289514,0
162,44755914,Customer_161,667,Spain,Male,39,10,79010.27914861377,3,0,0,146957.45355978725,0
163,60873983,Customer_162,765,Germany,Male,18,0,19046.856749469454,2,1,1,86332.30910642276,0
164,63892568,Customer_163,528,Germany,Male,58,1,132391.1751004637,2,1,0,154550.39893552923,1
165,33637222,Customer_164,696,France,Female,66,0,60464.17936090493,3,1,1,51073.34483285646,1
166,12484413,Customer_165,532,Spain,Female,75,3,61617.3183178277,2,1,0,190737.56372160744,1
167,80016224,Customer_166,538,France,Female,29,10,182688.61547525795,1,0,1,98414.83278861087,0
168,49449976,Customer_167,586,Germany,Female,46,1,13740.390049770922,2,1,1,29091.952022798363,0
169,99583549,Customer_168,555,Germany,Male,64,3,56664.15177078208,3,1,1,170791.79315933748,0
170,12235000,Customer_169,595,Spain,Female,41,2,36119.89565046016,1,0,1,180088.6995966569,0
171,33685747,Customer_170,628,France,Male,36,2,250000.0,4,0,1,149115.0204481819,0
172,47876684,Customer_171,733,Germany,Female,18,4,118024.20171009819,2,0,0,130226.74878167626,0
173,82931048,Customer_172,617,France,Male,61,4,106256.7850568693,3,1,0,186505.8446656358,1
174,39859174,Customer_173,491,France,Male,44,2,17123.14216621601,2,1,1,128785.82666930303,1
175,46102853,Customer_174,764,France,Male,34,9,20319.074148044536,2,1,1,160693.80014777314,0
176,56159303,Customer_175,566,France,Male,49,0,2221.1292028007388,2,1,0,100372.48809378517,0
177,22195226,Customer_176,644,France,Female,47,0,76319.3296651849,4,0,1,148596.4747729941,0
178,57936136,Customer_177,694,Spain,Female,47,10,34752.175682558394,2,1,0,199800.27874656068,0
179,79062973,Customer_178,669,Spain,Male,41,6,28051.91936985413,1,1,1,83653.49485996652,1
180,24421668,Customer_179,759,France,Male,69,8,76007.88518313575,3,1,1,147258.98398976307,0
181,31200096,Customer_180,697,Spain,Female,42,4,132319.99332785534,1,1,1,39639.835066726664,0
182,93375337,Customer_181,563,Germany,Female,69,2,10706.278590434928,3,1,1,131243.11774440133,0
183,33234510,Customer_182,850,France,Female,53,4,188185.1439818057,1,0,1,72421.38801834457,0
184,61715898,Customer_183,669,Spain,Male,50,0,2615.419474233644,2,0,0,174858.33417730642,0
185,55968757,Customer_184,635,Spain,Male,43,7,7495.338390635953,3,0,1,79345.5339904304,1
186,10061087,Customer_185,746,Germany,Male,59,3,136571.26792317515,2,1,1,95454.95090714644,0
187,90705119,Customer_186,674,Germany,Male,46,10,50899.52084534649,3,1,1,196282.3863536888,0
188,76653416,Customer_187,689,Germany,Female,31,5,210080.10792356692,2,0,0,52164.73254088339,1
189,95382256,Customer_188,850,Germany,Male,30,0,46443.89542401698,2,1,1,117991.21888791735,1
190,20274621,Customer_189,622,France,Female,51,3,195401.5155571134,2,0,1,174323.53128158557,0
191,23022704,Customer_190,618,Spain,Male,31,0,20546.222228571965,1,0,1,70902.62145289923,0
192,26816569,Customer_191,661,Spain,Female,44,6,71871.32287884351,2,1,1,14465.520591560153,0
193,17654909,Customer_192,757,Germany,Male,60,3,250000.0,2,1,0,180462.21835391538,1
194,47814054,Customer_193,499,Spain,Female,49,2,35377.917721289625,2,0,1,128329.17112708693,0
195,94302960,Customer_194,453,Spain,Female,34,10,109.1807692199902,3,0,0,55001.02210825396,0
196,25421040,Customer_195,591,Spain,Male,66,10,4964.668436076111,2,1,1,63650.55294945535,1
197,34210512,Customer_196,486,Germany,Female,53,10,146956.36486235843,3,1,1,162233.44122447507,0
198,82073914,Customer_197,607,Spain,Female,60,1,50778.65468196214,4,0,0,132561.8285310677,0
199,77922032,Customer_198,700,Spain,Female,18,6,57706.48254395016,3,1,1,149612.8619235904,0
200,43779713,Customer_199,560,Spain,Male,49,10,120492.9408676398,1,0,0,120338.99932933868,0
201,21506305,Customer_200,507,France,Male,57,4,125180.73783619315,3,0,0,160434.7935173069,1
202,30560091,Customer_201,656,France,Male,70,1,48673.477481761984,1,1,0,166280.1981858863,1
203,96881845,Customer_202,736,Spain,Male,23,8,146426.72388093563,2,0,0,84480.89721878656,0
204,17734102,Customer_203,480,Spain,Female,63,10,47393.31770384161,4,1,1,181332.7591230956,0
205,15674719,Customer_204,732,Spain,Female,69,6,84299.68995898683,2,0,0,106769.60812480652,1
206,18658144,Customer_205,731,Spain,Male,18,1,2544.827438905026,2,1,1,41763.82995471871,0
207,50163712,Customer_206,745,Spain,Female,52,1,11137.447276602597,2,1,1,52749.47535385684,1
208,99386386,Customer_207,771,Spain,Male,54,4,142997.399699215,2,1,1,149843.52252420844,1
209,95447809,Customer_208,850,France,Male,40,3,28169.503320523232,2,1,0,82680.51801227074,1
210,98917675,Customer_209,614,Germany,Female,37,5,30568.7445526673,3,0,0,61032.67948664076,1
211,54165849,Customer_210,660,Spain,Male,55,0,81573.4670791138,2,0,0,125529.46404773973,1
212,82586911,Customer_211,608,Spain,Female,35,0,67335.59790803675,1,1,0,158970.83529490538,1
213,78227907,Customer_212,650,Spain,Male,41,2,6432.255028562461,1,0,0,32166.699272381367,0
214,88826934,Customer_213,803,Germany,Male,57,1,108857.29052193665,1,0,0,96205.14315292206,1
215,59905866,Customer_214,515,Spain,Male,71,4,72022.59108041757,2,0,0,156936.11734095108,0
216,91121402,Customer_215,563,Spain,Female,53,2,144998.45999194184,1,1,1,181835.28831935686,0
217,50657662,Customer_216,787,Germany,Male,47,5,57509.03014060939,2,0,1,14140.935092300904,0
218,16659908,Customer_217,752,Spain,Female,37,7,40124.24780388308,1,1,1,135197.9633515402,0
219,41378291,Customer_218,613,Germany,Male,29,1,34812.40777955435,2,1,1,124135.15162381779,0
220,73020641,Customer_219,735,Germany,Male,61,10,332.15389191772726,1,1,0,109132.46930142728,1
221,46634821,Customer_220,684,Spain,Female,42,7,3044.793877377505,3,0,0,41769.76785100754,0
222,29433354,Customer_221,800,France,Female,62,4,10549.161040069757,2,0,0,151343.76701769582,1
223,26887294,Customer_222,657,France,Female,40,10,198950.47638908,1,1,1,85592.33236775643,0
224,83422991,Customer_223,752,Spain,Female,35,1,159427.45399145596,3,1,1,55792.305994519214,1
225,45562619,Customer_224,850,Germany,Female,51,2,51566.666465923896,2,1,1,171736.1335567787,0
226,45213498,Customer_225,709,Germany,Female,43,0,14901.785368141156,3,0,1,69433.6878643538,0
227,45703247,Customer_226,654,Germany,Male,26,3,11846.58693776749,2,0,1,48970.28444334596,1
228,50910172,Customer_227,722,Spain,Female,72,3,22191.73414521179,2,0,1,70378.81637513386,1
229,72744322,Customer_228,613,France,Male,35,4,179539.09240709784,2,0,1,45699.05853011272,0
230,67805563,Customer_229,850,Germany,Male,58,0,55277.42385301745,2,1,0,158029.36528545964,1
231,16404003,Customer_230,668,Germany,Male,57,0,122239.06028971689,2,1,0,45890.74162043166,0
232,81244178,Customer_231,622,Spain,Female,26,2,53006.09716903896,2,1,1,146611.14196629997,0
233,61939266,Customer_232,566,France,Male,29,1,70514.43068440874,2,0,1,42203.74053338761,1
234,43267858,Customer_233,759,France,Male,40,7,70640.37675273219,2,1,1,54225.035733089506,0
235,31114003,Customer_234,736,Spain,Male,32,5,2387.948274278787,2,0,1,76120.1177189256,0
236,96641503,Customer_235,600,France,Female,70,1,44195.332393970435,3,0,1,190583.22422301944,1
237,20421958,Customer_236,707,Spain,Male,41,0,149659.5768489622,3,1,0,183754.62709271375,1
238,87809459,Customer_237,499,Germany,Female,58,1,50368.40436138585,2,1,0,27624.14179740339,1
239,22984808,Customer_238,668,Spain,Male,52,5,42864.25426435814,1,1,1,74858.39463800854,0
240,24764960,Customer_239,695,Germany,Female,48,10,56077.471553052645,3,1,1,76840.71561042365,0
241,60402943,Customer_240,820,Spain,Female,45,1,35945.52936129819,3,1,1,51447.49529835891,1
242,86241446,Customer_241,572,Germany,Male,63,8,54332.35527267858,2,0,0,93659.96332509194,0
243,63777024,Customer_242,522,Germany,Male,32,10,10906.836214418443,2,1,1,152513.29684502128,0
244,93494666,Customer_243,560,Spain,Female,70,0,250000.0,2,1,0,30304.272520477654,0
245,80721464,Customer_244,516,Germany,Female,25,10,2604.447544380529,2,0,0,138129.7754747828,1
246,94711896,Customer_245,783,France,Female,56,3,49508.52789786845,4,0,0,60716.887341061025,0
247,89214742,Customer_246,804,Spain,Male,23,10,17678.466067231584,1,1,1,132626.2229574558,1
248,53799966,Customer_247,682,France,Male,40,3,4509.584179489062,1,0,0,140059.4684898735,0
249,20047453,Customer_248,772,Germany,Male,46,1,79102.99079665082,4,1,1,148772.0086300892,0
250,45581225,Customer_249,663,Germany,Male,37,10,250000.0,2,1,1,173937.54205588985,0
251,44109026,Customer_250,640,Germany,Male,42,1,103853.6568376273,2,1,1,181079.96212928748,0
252,52090758,Customer_251,616,Spain,Female,24,10,21979.3037572479,3,0,1,154611.17011334453,0
253,26037627,Customer_252,618,Germany,Female,30,0,51000.896371371506,3,0,1,102228.83480506396,0
254,90337039,Customer_253,495,France,Female,52,5,3829.753480864039,2,1,1,19912.19491488756,0
255,30281689,Customer_254,676,France,Female,45,2,56893.699050143405,2,0,1,188142.80359299856,0
256,67631343,Customer_255,645,Spain,Female,34,10,7857.318522458779,2,1,0,124880.4992834368,0
257,81450611,Customer_256,724,France,Female,64,1,118712.48939638435,3,1,1,112303.31463740724,0
258,56510960,Customer_257,659,Spain,Male,26,2,4378.327273410775,3,1,1,56708.05464408449,0
259,42797855,Customer_258,633,Spain,Female,39,5,705.3791326950878,1,1,1,140500.83362243915,1
260,44795514,Customer_259,562,Germany,Male,37,10,148297.26518203775,2,0,1,198999.29057731017,0
261,15184502,Customer_260,657,France,Male,54,1,214252.85302556478,2,0,1,73766.80710323103,1
262,33448674,Customer_261,723,France,Male,45,2,6789.828430871721,2,1,1,162232.07595131113,0
263,65223954,Customer_262,535,France,Male,43,3,24525.041822604697,2,0,0,66436.72647413415,0
264,40948143,Customer_263,658,Germany,Female,18,1,101521.72815669136,1,0,0,103478.48472025181,1
265,22503247,Customer_264,673,Spain,Female,57,8,58183.18025506671,1,0,1,51771.97777037303,0
266,64006163,Customer_265,578,France,Male,41,0,223543.7888389811,3,0,1,108198.68935718015,0
267,61910807,Customer_266,591,France,Male,46,6,36971.47352347349,2,1,1,98122.10140828355,0
268,64847136,Customer_267,673,France,Female,33,3,249.63167559954283,2,0,1,18919.92560580486,0
269,83150359,Customer_268,536,France,Female,31,1,1495.7392075136484,2,1,1,83521.69530992866,1
270,40831219,Customer_269,684,Germany,Female,67,3,62405.60400299432,1,0,1,23405.15385818533,0
271,33101383,Customer_270,560,Spain,Male,18,8,104606.37109462419,2,0,0,96487.67685328887,1
272,27569187,Customer_271,756,France,Female,29,2,117269.26904996246,3,0,0,196256.19377057752,0
273,64710375,Customer_272,850,France,Female,67,0,181870.89581709923,3,1,0,66786.02177450148,0
274,64456147,Customer_273,563,Spain,Male,54,0,19512.26931563798,3,1,0,108736.58522718525,1
275,88110973,Customer_274,703,Germany,Male,40,7,100572.09252708907,2,1,0,36117.5104945338,1
276,49501026,Customer_275,577,Germany,Female,63,2,131627.31523889408,2,1,0,40597.05897531769,1
277,43163773,Customer_276,754,Germany,Male,51,10,135717.69258406863,3,1,1,78559.86872740422,1
278,21310552,Customer_277,523,Germany,Male,48,4,39768.92916224481,1,1,0,103856.50030655302,0
279,41146082,Customer_278,698,France,Male,48,2,73759.05345919663,3,1,1,143736.25375243495,1
280,31104792,Customer_279,562,Spain,Male,51,4,60149.41591459762,3,0,1,97630.73134531367,0
281,31739356,Customer_280,629,Spain,Male,52,3,68251.89285446095,2,0,0,16182.305887139759,0
282,21471761,Customer_281,546,Spain,Female,77,10,24849.69112176833,1,0,1,62637.73431165343,0
283,29576703,Customer_282,732,Germany,Female,42,3,86219.50224717274,2,1,0,16255.388340891725,1
284,85092305,Customer_283,566,Germany,Female,42,0,92845.05362543935,1,1,0,184531.89431629164,0
285,82429249,Customer_284,705,Spain,Female,26,4,16356.886001158819,3,0,0,17058.327201086133,0
286,28877237,Customer_285,615,France,Female,44,4,43974.45911170506,1,1,1,20931.028801515276,1
